利用日	利用店名・商品名	利用者	支払方法	利用金額	支払手数料	支払総額	2月支払金額	3月繰越残高	新規サイン	決済日	備考
2024/12/30	ｵ-ｹ- ﾋﾄﾂﾔﾃﾝ	本人	1回払い	19348	0	19348	19348	0	*	202501	
2024/12/30	ﾀｲﾑｽﾞｶ-	本人	1回払い	660	0	660	660	0	*	202501	
2024/12/29	ｵ-ｹ- ﾐﾅﾄﾐﾗｲﾃﾝ	本人	1回払い	7140	0	7140	7140	0	*	202501	
2024/12/29	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1552	0	1552	1552	0	*	202501	
2024/12/29	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/28	ローソン	本人	1回払い	580	0	580	580	0	*	202501	
2024/12/28	ローソン	本人	1回払い	666	0	666	666	0	*	202501	
2024/12/28	丸井	本人	1回払い	3173	0	3173	3173	0	*	202501	
2024/12/28	ﾏﾀﾞﾑｱﾝﾎ-ﾑｷﾂﾁﾝ	本人	1回払い	2000	0	2000	2000	0	*	202501	
2024/12/28	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	193	0	193	193	0	*	202501	
2024/12/27	ﾆｭｰﾃﾞｲｽﾞｷｵｽｸﾄ ｳｷｮｳｼ	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/26	ローソン	本人	1回払い	934	0	934	934	0	*	202501	
2024/12/25	ローソン	本人	1回払い	4599	0	4599	4599	0	*	202501	
2024/12/25	ｵ-ｹ- ｷﾞﾝｻﾞﾃﾝ	本人	1回払い	7897	0	7897	7897	0	*	202501	
2024/12/25	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1122	0	1122	1122	0	*	202501	
2024/12/24	ファミリーマート	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/24	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	170	0	170	170	0	*	202501	
2024/12/23	ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ	本人	1回払い	600	0	600	600	0	*	202501	
2024/12/22	ローソン	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/22	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	3032	0	3032	3032	0	*	202501	
2024/12/21	ﾄﾘｯﾌﾟﾄﾞｯﾄｺﾑ	本人	1回払い	101360	0	101360	101360	0	*	202501	
2024/12/20	ｳｰﾊﾞｰｲｰﾂ	本人	1回払い	1415	0	1415	1415	0	*	202501	
2024/12/20	ＰＡＲＣＯ調布	本人	1回払い	4587	0	4587	4587	0	*	202501	
2024/12/20	ファミリーマート	本人	1回払い	181	0	181	181	0	*	202501	
2024/12/20	ローソン	本人	1回払い	2901	0	2901	2901	0	*	202501	
2024/12/20	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1036	0	1036	1036	0	*	202501	
2024/12/19	ローソン	本人	1回払い	1528	0	1528	1528	0	*	202501	
2024/12/18	ｾﾌﾞﾝ ｲﾚﾌﾞﾝ	本人	1回払い	1160	0	1160	1160	0	*	202501	
2024/12/18	ﾋﾞｰﾋﾞｰｷｭｰｵﾘｰﾌﾞﾎﾟ	本人	1回払い	5460	0	5460	5460	0	*	202501	
2024/12/18	ﾗｲﾌﾎﾟﾝﾃﾎﾟﾙﾀｾﾝｼﾞﾕ	本人	1回払い	16591	0	16591	16591	0	*	202501	
2024/12/18	ﾀｲﾑｽﾞｶ-	本人	1回払い	220	0	220	220	0	*	202501	
2024/12/17	4001030 ﾀﾅｶｴｷﾏｴﾃ	本人	1回払い	1694	0	1694	1694	0	*	202501	
2024/12/17	ファミリーマート	本人	1回払い	1341	0	1341	1341	0	*	202501	
